,Date,Number of Tweets
0,2018-01-09 21:33:39+00:00,193.0
1,2018-01-16 09:37:06.357900+00:00,81.0
2,2018-01-22 21:40:33.715780+00:00,87.0
3,2018-01-29 09:44:01.073680+00:00,101.0
4,2018-02-04 21:47:28.431580+00:00,89.0
5,2018-02-11 09:50:55.789480+00:00,92.0
6,2018-02-17 21:54:23.147360+00:00,80.0
7,2018-02-24 09:57:50.505260+00:00,77.0
8,2018-03-02 22:01:17.863160+00:00,89.0
9,2018-03-09 10:04:45.221060+00:00,64.0
10,2018-03-15 22:08:12.578940+00:00,34.0
11,2018-03-22 10:11:39.936840+00:00,19.0
12,2018-03-28 22:15:07.294740+00:00,17.0
13,2018-04-04 10:18:34.652640+00:00,25.0
14,2018-04-10 22:22:02.010520+00:00,16.0
15,2018-04-17 10:25:29.368420+00:00,28.0
16,2018-04-23 22:28:56.726320+00:00,21.0
17,2018-04-30 10:32:24.084220+00:00,17.0
18,2018-05-06 22:35:51.442100+00:00,20.0
19,2018-05-13 10:39:18.800000+00:00,14.0
20,2018-05-19 22:42:46.157900+00:00,23.0
21,2018-05-26 10:46:13.515800+00:00,22.0
22,2018-06-01 22:49:40.873680+00:00,40.0
23,2018-06-08 10:53:08.231580+00:00,14.0
24,2018-06-14 22:56:35.589480+00:00,12.0
25,2018-06-21 11:00:02.947380+00:00,22.0
26,2018-06-27 23:03:30.305260+00:00,14.0
27,2018-07-04 11:06:57.663160+00:00,48.0
28,2018-07-10 23:10:25.021060+00:00,22.0
29,2018-07-17 11:13:52.378960+00:00,26.0
30,2018-07-23 23:17:19.736840+00:00,16.0
31,2018-07-30 11:20:47.094740+00:00,18.0
32,2018-08-05 23:24:14.452640+00:00,29.0
33,2018-08-12 11:27:41.810540+00:00,14.0
34,2018-08-18 23:31:09.168420+00:00,14.0
35,2018-08-25 11:34:36.526320+00:00,12.0
36,2018-08-31 23:38:03.884220+00:00,10.0
37,2018-09-07 11:41:31.242100+00:00,5.0
38,2018-09-13 23:44:58.600000+00:00,11.0
39,2018-09-20 11:48:25.957900+00:00,6.0
40,2018-09-26 23:51:53.315800+00:00,15.0
41,2018-10-03 11:55:20.673680+00:00,51.0
42,2018-10-09 23:58:48.031580+00:00,88.0
43,2018-10-16 12:02:15.389480+00:00,26.0
44,2018-10-23 00:05:42.747360+00:00,15.0
45,2018-10-29 12:09:10.105260+00:00,23.0
46,2018-11-05 00:12:37.463160+00:00,8.0
47,2018-11-11 12:16:04.821060+00:00,13.0
48,2018-11-18 00:19:32.178940+00:00,9.0
49,2018-11-24 12:22:59.536840+00:00,5.0
50,2018-12-01 00:26:26.894740+00:00,12.0
51,2018-12-07 12:29:54.252640+00:00,14.0
52,2018-12-14 00:33:21.610520+00:00,11.0
53,2018-12-20 12:36:48.968420+00:00,10.0
54,2018-12-27 00:40:16.326320+00:00,12.0
55,2019-01-02 12:43:43.684200+00:00,36.0
56,2019-01-09 00:47:11.042100+00:00,9.0
57,2019-01-15 12:50:38.400000+00:00,4.0
58,2019-01-22 00:54:05.757900+00:00,7.0
59,2019-01-28 12:57:33.115800+00:00,7.0
60,2019-02-04 01:01:00.473680+00:00,8.0
61,2019-02-10 13:04:27.831580+00:00,9.0
62,2019-02-17 01:07:55.189480+00:00,10.0
63,2019-02-23 13:11:22.547380+00:00,17.0
64,2019-03-02 01:14:49.905260+00:00,14.0
65,2019-03-08 13:18:17.263160+00:00,12.0
66,2019-03-15 01:21:44.621060+00:00,9.0
67,2019-03-21 13:25:11.978960+00:00,65.0
68,2019-03-28 01:28:39.336840+00:00,40.0
69,2019-04-03 13:32:06.694740+00:00,36.0
70,2019-04-10 01:35:34.052640+00:00,29.0
71,2019-04-16 13:39:01.410540+00:00,27.0
72,2019-04-23 01:42:28.768420+00:00,38.0
73,2019-04-29 13:45:56.126320+00:00,60.0
74,2019-05-06 01:49:23.484220+00:00,50.0
75,2019-05-12 13:52:50.842120+00:00,44.0
76,2019-05-19 01:56:18.200000+00:00,43.0
77,2019-05-25 13:59:45.557900+00:00,23.0
78,2019-06-01 02:03:12.915800+00:00,21.0
79,2019-06-07 14:06:40.273700+00:00,25.0
80,2019-06-14 02:10:07.631580+00:00,26.0
81,2019-06-20 14:13:34.989480+00:00,41.0
82,2019-06-27 02:17:02.347380+00:00,10.0
83,2019-07-03 14:20:29.705260+00:00,14.0
84,2019-07-10 02:23:57.063160+00:00,8.0
85,2019-07-16 14:27:24.421060+00:00,13.0
86,2019-07-23 02:30:51.778960+00:00,9.0
87,2019-07-29 14:34:19.136840+00:00,9.0
88,2019-08-05 02:37:46.494740+00:00,7.0
89,2019-08-11 14:41:13.852640+00:00,3.0
90,2019-08-18 02:44:41.210520+00:00,9.0
91,2019-08-24 14:48:08.568420+00:00,4.0
92,2019-08-31 02:51:35.926320+00:00,5.0
93,2019-09-06 14:55:03.284220+00:00,10.0
94,2019-09-13 02:58:30.642100+00:00,5.0
